fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2021-2022,July,02,ANDHRA PRADESH,0205,WEST GODAVARI,14519186,216.338655992754,44,4677,8373.9107,16154,17,48231,14525383,5437710,252894,1254726,48606,508.69548,40306.62454,324990,516194,401660,724577,20693,831101,1613066,64385,31424.01836,7974956,24,64.02,64.96,100.22,NA
2021-2022,July,02,ANDHRA PRADESH,0207,GUNTUR,12458223,216.199390413377,37,3973,6061.90721,16266,55,57353,12459591,4387354,244758,704050,44548,626.65026,33626.11726,329974,564775,393011,735497,13471,876218,1702073,73619,26937.55979,6690100,10,62.57,64.16,100.46,NA
2021-2022,July,02,ANDHRA PRADESH,0210,CHITTOOR,12835210,223.617653080861,47,4705,8254.500771,13239,102,81228,12835210,3709117,204109,574675,30099,707.16321,37663.459351,271138,424613,396669,735637,22871,764986,1627297,94467,28701.79537,7575677,54,59.26,65.21,99.96,NA
2021-2022,May,02,ANDHRA PRADESH,0201,SRIKAKULAM,9368112,169.411920309639,24,8604,3812.39401,7598,87,52878,9372978,916149,89725,1233228,78520,735.89481,20427.23084,377451,567013,466856,854663,1209,635210,1358381,60476,15878.94202,6095878,55,78.04,79.63,98.75,NA
2021-2022,May,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,8584402,171.002844923051,27,4395,2650.58866,16184,58,70055,8588633,399541,43302,4046456,289138,546.29584,17883.69127,314452,498107,399598,721296,1705,577386,1144676,86239,14686.80677,4965310,68,68.46,71.76,100.91,NA
2021-2022,Sep,02,ANDHRA PRADESH,0202,VIZIANAGARAM,22340030,215.907411225772,54,11449,6545.14502,16900,36,56891,22382087,2481473,93652,2724608,110127,557.495,55427.22464,408228,686229,436359,823544,23960,573013,1203485,73791,48324.58462,13652952,55,86.23,87.1,100.39,NA
2021-2022,Sep,02,ANDHRA PRADESH,0205,WEST GODAVARI,15363813,218.814912923931,46,4766,13403.24438,17045,15,55959,15370641,5732219,253404,1329918,48673,546.08948,47582.58858,332485,530464,402745,726332,26014,837454,1617524,73004,33633.25472,8443588,30,61.78,62.9,100.21,NA
2021-2022,Sep,02,ANDHRA PRADESH,0206,KRISHNA,13653358,226.669820199623,44,5136,12390.38983,19097,19,57223,13653364,5625825,262796,505991,25946,581.01568,43919.46114,303413,515470,360961,684189,23843,744239,1521455,76320,30948.05563,7531047,21,62.41,64.48,100.39,NA
2021-2022,Sep,02,ANDHRA PRADESH,0211,Y.S.R,12808923,230.821249084274,52,3855,11670.351176,17944,27,56375,12809512,2866616,130110,300004,13660,729.50276,41966.929536,243243,386590,297153,546048,26401,614004,1213673,74319,29567.0756,7745084,57,67.84,71.47,100.41,NA
2021-2022,Sep,02,ANDHRA PRADESH,0212,ANANTAPUR,23645909,227.009093721098,59,9280,10399.29188,24764,29,73902,23797299,4362176,169109,1196892,42371,881.20822,65302.53289,397126,701776,467982,902507,62302,931753,2070175,98666,54022.03279,12868177,63,76.12,78.79,100.17,NA
2021-2022,Feb,02,ANDHRA PRADESH,0202,VIZIANAGARAM,24139984,210.25372282579,56,11535,11914.11439475,18785,36,62482,23260382,2652540,93670,2942487,110205,845.81926,61665.75275325,410467,692775,436494,823752,27768,564011,1177790,81267,48905.8190985,14225772,56,84.95,85.61,100.93,NA
2021-2022,Jan,02,ANDHRA PRADESH,0209,NELLORE,12289253,212.581288613357,45,3296,14298.0092225,22277,19,41191,11631014,3809402,190307,723643,40185,669.57225,39692.9409125,256239,403020,310538,558039,17674,651924,1316056,63468,24725.35944,6824934,25,56.51,60.25,100.91,NA
2021-2022,March,02,ANDHRA PRADESH,0207,GUNTUR,14014361,211.609675841393,41,4195,30697.9145765,31632,43,49456,14192250,4949703,245210,818640,44757,1236.86626,61966.9550561001,345147,595256,394538,737683,21179,869083,1683515,81088,30032.1742196001,7619846,13,53.29,56.45,101.28,NA
