fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2019-2020,Feb,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,163169,126.218500163636,42,9,17.033176,133,1,505,171112,0,0,0,0,75.37435,308.382526,4054,4975,9360,16887,265,19053,31030,638,215.975,102294,66,59.23,56.79,596.12,NA
2019-2020,March,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,178002,129.635009731193,43,10,17.676576,147,1,493,177265,0,0,0,0,95.14659,342.620666,4100,5045,9344,16632,322,18128,29205,640,229.7975,105714,66,59.62,57.47,564.61,NA
2019-2020,Dec,01,ANDAMAN AND NICOBAR,0102,NICOBARS,25113,0,21,0,0,3,10,99,858,0,0,783,2122,0,0,40,41,1286,2246,0,6035,9930,102,0,263,6,9.14,0,0,NA
2019-2020,Nov,01,ANDAMAN AND NICOBAR,0102,NICOBARS,22117,0,21,0,0,2,10,100,858,0,0,783,2122,0,0,40,41,1286,2246,0,6034,9929,102,0,263,6,9.14,0,0,NA
2019-2020,Aug,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,19066,148.351337594027,16,4,0,8,16,221,17681,0,0,0,0,17.60464,43.83464,1093,1148,5001,7551,1,13565,17878,229,26.23,11052,34,43.66,61.31,278.04,NA
2019-2020,Sep,01,ANDAMAN AND NICOBAR,0102,NICOBARS,14606,0,13,0,0,1,10,101,540,0,0,465,2122,0,0,40,41,1286,2246,0,6033,9928,102,0,182,6,20,0,0,NA
2019-2020,May,01,ANDAMAN AND NICOBAR,0102,NICOBARS,4188,0,5,0,0,1,10,100,81,0,0,6,2121,0,0,14,14,1285,2245,0,5991,9857,101,0,63,6,100,0,0,NA
2019-2020,Feb,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,37494,198.205141270286,23,8,0,21,7,218,39251,0,0,0,0,35.81762,113.61512,1637,1764,4994,7489,3,13271,17455,239,77.7975,23030,35,56.08,67.51,302.79,NA
2019-2020,Jan,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,34046,217.196180797901,22,7,0,18,7,218,35819,0,0,0,0,35.23722,113.03472,1564,1670,5011,7551,3,13570,17859,236,77.7975,20942,35,54.4,66.88,276.68,NA
2019-2020,Jan,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,148335,93.4203795673373,39,9,17.033176,113,1,520,154439,0,0,0,0,73.09148,234.402156,3884,4746,9374,17039,179,19563,31931,633,144.2775,92991,66,58.23,55.59,538.03,NA
2019-2020,July,01,ANDAMAN AND NICOBAR,0102,NICOBARS,9406,0,5,0,0,1,10,100,81,0,0,6,2121,0,0,14,14,1285,2245,0,6019,9907,101,0,63,6,100,0,0,NA
2019-2020,July,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,59334,225.277164263133,23,2,3.530086,43,1,469,46182,0,0,0,0,35.64025,143.207836,1963,2287,9345,17177,3,19704,32361,512,104.0375,28211,66,57.49,57.05,169.04,NA
2019-2020,Oct,01,ANDAMAN AND NICOBAR,0102,NICOBARS,18200,0,21,0,0,2,10,100,858,0,0,783,2122,0,0,40,41,1286,2246,0,6034,9929,102,0,263,6,9.14,0,0,NA
2019-2020,April,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,8034,82.2196397443347,6,1,0,4,26,132,1721,0,0,0,0,3.77209,5.18709,252,265,4933,7482,0,13560,17904,136,1.415,1022,1,35.53,64.55,260.76,NA
2019-2020,April,01,ANDAMAN AND NICOBAR,0102,NICOBARS,2631,0,5,0,0,1,10,100,81,0,0,6,2121,0,0,14,14,1285,2245,0,5991,9858,101,0,63,6,100,0,0,NA
2019-2020,April,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,14834,506.087232691086,8,1,0,4,20,366,4723,0,0,0,0,8.65884,32.56134,547,623,9317,17222,0,19622,32363,370,23.9025,2896,55,37.02,43.32,108.39,NA
2019-2020,June,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,13982,192.761904761905,14,2,0,5,19,152,7875,0,0,0,0,11.06071,26.24071,562,590,4945,7492,0,13587,17936,157,15.18,4804,11,34.35,59.19,214.41,NA
2019-2020,Dec,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,30312,232.884811111776,21,7,0,16,7,220,33406,0,0,0,0,31.82698,109.62448,1528,1625,5011,7556,3,13571,17870,236,77.7975,19720,35,52.25,64.99,258.02,NA
2019-2020,Oct,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,103835,161.456641312019,30,5,5.666676,81,1,501,89267,0,0,0,0,61.54227,211.336446,2911,3488,9370,17167,30,19777,32386,582,144.1275,54678,66,57.67,55.79,310.89,NA
2019-2020,Nov,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,26100,222.544679455648,20,7,0,15,7,220,30495,0,0,0,0,28.43491,96.29991,1480,1573,5011,7560,1,13576,17887,235,67.865,17987,35,50.5,63.78,247.7,NA
2019-2020,Nov,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,118668,132.00785851018,33,6,15.536476,82,1,519,109181,0,0,0,0,69.84569,229.509666,3231,3881,9376,17154,68,19744,32317,601,144.1275,66670,66,57.73,55.19,380.3,NA
2019-2020,May,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,12424,132.645718397697,13,1,0,5,22,133,4169,0,0,0,0,7.53634,13.06634,305,323,4934,7480,0,13561,17902,138,5.53,2304,2,36.91,72.84,280.17,NA
2019-2020,Oct,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,23276,225.860798146783,19,7,0,14,7,220,28491,0,0,0,0,28.39829,92.74829,1465,1556,5010,7559,1,13575,17886,234,64.35,16719,35,48.45,62.85,236.13,NA
2019-2020,Jan,01,ANDAMAN AND NICOBAR,0102,NICOBARS,28591,0,21,0,0,3,10,99,858,0,0,783,2122,0,0,40,41,1286,2246,0,6044,9939,102,0,263,6,9.14,0,0,NA
2019-2020,June,01,ANDAMAN AND NICOBAR,0102,NICOBARS,6007,0,5,0,0,1,10,100,81,0,0,6,2121,0,0,14,14,1285,2245,0,6002,9876,101,0,63,6,100,0,0,NA
2019-2020,June,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,44501,239.363749407864,20,1,3.008686,30,2,366,33776,0,0,0,0,25.64972,109.505906,1670,1924,9335,17171,3,19683,32352,396,80.8475,21053,57,56.16,57.01,133.96,NA
2019-2020,Sep,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,20576,203.896439015999,16,7,0,10,11,224,23252,0,0,0,0,21.62027,69.03027,1398,1471,5010,7560,1,13573,17885,234,47.41,13824,35,47.61,61.07,262.63,NA
2019-2020,Sep,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,89001,217.012959194602,27,2,5.666676,67,1,480,65359,0,0,0,0,53.42142,200.925596,2397,2828,9359,17169,12,19756,32380,547,141.8375,40039,67,59.58,58.88,227.57,NA
