fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2020-2021,Dec,01,ANDAMAN AND NICOBAR,0102,NICOBARS,25113,0,40,1,0.15765,0,8,120,16322,0,0,14904,1838,0,0.15765,400,565,1057,1983,16,6223,10130,120,0,7191,5,71.09,0,0,NA
2020-2021,Nov,01,ANDAMAN AND NICOBAR,0102,NICOBARS,22117,0,40,1,0.075,0,9,120,16322,0,0,14904,1838,0,0.075,400,565,1057,1983,16,6213,10121,120,0,7191,5,71.09,0,0,NA
2020-2021,Oct,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,21884,230.029694570136,19,9,0,9,7,309,35360,0,0,0,0,3.40689,84.74539,1859,2095,4371,6334,3,13236,16899,318,81.3385,19067,44,60.56,73.7,605.13,NA
2020-2021,Jan,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,28621,183.317701780472,23,9,0,12,6,369,52458,0,0,0,0,3.68734,99.85214,2217,2513,4398,6330,11,13247,16856,381,96.1648,28628,50,58.16,67.25,897.75,NA
2020-2021,Jan,01,ANDAMAN AND NICOBAR,0102,NICOBARS,28591,0,40,1,0.15765,0,8,120,16322,0,0,14904,1838,0,0.15765,400,565,1057,1983,16,6223,10130,120,0,7191,5,71.09,0,0,NA
2020-2021,Jan,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,148335,305.084559425069,32,14,37.9178988,260,0,731,158906,0,0,0,0,34.87183,557.5873988,4886,6128,8459,15068,130,18165,28841,991,484.79767,88451,75,62.07,53.87,521.21,NA
2020-2021,March,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,178000,262.095311444399,36,14,47.2695588,289,0,726,185025,0,0,0,0,34.91744,567.1288488,5050,6384,8461,15070,275,18179,28857,1015,484.94185,102717,76,61.55,51.09,606.82,NA
2020-2021,Dec,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,133502,348.191642785834,30,12,37.9178988,255,0,712,139233,0,0,0,0,34.6796,557.3951688,4503,5619,8451,15058,75,18117,28775,967,484.79767,77779,75,61.97,55.55,456.68,NA
2020-2021,July,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,17055,230.344594909023,17,5,0,2,9,305,21489,0,0,0,0,0,49.49875,1208,1391,4285,6273,0,13200,16907,307,49.49875,11311,45,61.8,86.59,386.56,NA
2020-2021,March,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,32000,161.380120492037,26,9,0,24,6,357,59589,0,0,0,0,3.68734,99.85214,2278,2583,4399,6331,20,13247,16852,381,96.1648,32722,50,56.39,65.52,1019.8,NA
2020-2021,March,01,ANDAMAN AND NICOBAR,0102,NICOBARS,40000,0,40,1,0.15765,0,8,120,16322,0,0,14904,1838,0,0.15765,400,565,1057,1983,16,6223,10130,120,0,7191,5,71.09,0,0,NA
2020-2021,Dec,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,26218,208.712777512274,21,9,0,10,6,368,46034,0,0,0,0,3.59038,99.66922,2133,2404,4399,6340,9,13257,16882,378,96.07884,25053,51,60.05,69.5,787.81,NA
2020-2021,Nov,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,26062,247.573579457564,19,9,0,10,6,362,38788,0,0,0,0,3.48348,99.51232,1974,2216,4372,6328,6,13236,16891,372,96.02884,20978,51,59.37,70.53,663.8,NA
2020-2021,April,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,14834,4730.06476421777,8,3,0,105,0,426,4941,0,0,0,0,16.01747,249.72997,616,726,8325,15010,0,17978,28886,531,233.7125,2608,69,17.07,15.73,188.37,NA
2020-2021,Aug,01,ANDAMAN AND NICOBAR,0102,NICOBARS,12029,0,40,1,0,0,10,120,16094,0,0,14676,1838,0,0,400,565,1057,1983,16,6195,10103,120,0,7087,5,70.12,0,0,NA
2020-2021,June,01,ANDAMAN AND NICOBAR,0102,NICOBARS,7007,0,39,1,0,0,10,113,10707,0,0,9533,1816,0,0,274,389,1040,1959,8,6157,10056,113,0,4551,6,59.78,0,0,NA
2020-2021,Oct,01,ANDAMAN AND NICOBAR,0102,NICOBARS,18200,0,40,1,0,0,10,120,16322,0,0,14904,1838,0,0,400,565,1057,1983,16,6212,10119,120,0,7191,5,71.09,0,0,NA
2020-2021,Feb,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,31341,170.9778820852,25,9,0,14,6,367,56244,0,0,0,0,3.68734,99.85214,2238,2538,4399,6331,16,13248,16854,381,96.1648,30823,50,57.49,65.55,962.55,NA
2020-2021,Feb,01,ANDAMAN AND NICOBAR,0102,NICOBARS,34119,0,40,1,0.15765,0,8,120,16322,0,0,14904,1838,0,0.15765,400,565,1057,1983,16,6223,10130,120,0,7191,5,71.09,0,0,NA
2020-2021,Feb,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,163169,275.14680810007,35,14,43.2284988,270,0,734,176196,0,0,0,0,34.91503,562.9411988,5002,6288,8460,15068,201,18172,28848,1004,484.79767,97943,75,61.11,51.98,577.92,NA
2020-2021,April,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,12513,0,0,0,0,0,14,245,0,0,0,0,0,0,16.2525,0,0,4180,6369,0,13330,17516,245,16.2525,0,35,0,0,0,NA
2020-2021,April,01,ANDAMAN AND NICOBAR,0102,NICOBARS,2631,0,9,0,0,0,10,101,742,0,0,742,1775,0,0,81,99,991,1900,0,6091,9986,101,0,238,6,54.15,0,0,NA
2020-2021,June,02,ANDHRA PRADESH,0202,VIZIANAGARAM,21516383,217.575430220188,54,11474,12702.97769,8865,25,74095,21538622,2427493,111950,2672225,133305,868.55311,60434.28028,396110,678389,431373,990068,19814,550607,1203607,82960,46862.74948,12764892,51,91.98,92.47,100.15,NA
2020-2021,June,02,ANDHRA PRADESH,0204,EAST GODAVARI,14695362,209.73903664074,36,10097,16027.60664,12027,47,109148,14695473,4697695,319346,2570806,184203,1008.13656,47857.8867,403731,592271,521285,1081909,6954,886856,1698438,121175,30822.1435,7654763,36,85.88,93.34,100.4,NA
2020-2021,June,02,ANDHRA PRADESH,0212,ANANTAPUR,16306678,197.71787127349,44,8640,8685.795,6369,50,93296,16308793,3165131,216284,850380,54499,761.45509,41692.64844,363364,638947,467702,1131214,10799,888114,1967928,99665,32245.39835,8708051,66,90.95,93.67,100.59,NA
2020-2021,May,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10942582,163.894956317871,30,10500,11223.77456,8358,25,69758,10955052,1251796,110103,1441780,131895,468.95954,29647.51179,362036,585140,422286,976864,394,535545,1182191,78116,17954.77769,6601641,51,92.41,92.96,100.17,NA
2020-2021,May,02,ANDHRA PRADESH,0211,Y.S.R,5282752,168.615284609234,26,3240,12451.97757,8217,16,70916,5282752,1288520,156011,132633,16380,401.15541,21760.6603,197972,304852,294823,641688,322,578121,1165497,79133,8907.52732,3136440,59,80.91,85.45,100.87,NA
2020-2021,Nov,02,ANDHRA PRADESH,0207,GUNTUR,9758175,222.259762680934,28,4111,17569.832,43008,3,79821,9759435,3570020,299911,530509,58040,1128.57949,40389.70856,336572,573018,419993,900890,6011,850121,1667479,122829,21691.29707,5178581,18,55.51,75.11,100.75,NA
2020-2021,Nov,02,ANDHRA PRADESH,0208,PRAKASAM,23859407,224.017524257022,49,6806,42163.90631,31957,4,65552,23860926,6743381,335992,634452,40811,1529.88259,97146.44459,477804,816953,540454,1130825,39337,820987,1567170,97509,53452.65569,13440987,43,73.58,77.25,100.61,NA
2020-2021,Dec,02,ANDHRA PRADESH,0201,SRIKAKULAM,20685632,218.955152911325,48,10106,30607.30572,28653,39,71121,20695524,2241138,110898,2439698,94895,2601.18514,78522.40708,430302,689632,472695,1057936,21896,629493,1337935,99774,45313.91622,13038110,58,69.59,71.44,100.6,NA
2020-2021,Dec,02,ANDHRA PRADESH,0204,EAST GODAVARI,18857012,231.788555608166,44,10604,37539.4676,53726,67,80176,18857743,5836851,318826,3447231,171540,2488.68608,83738.2438,421225,623276,522902,1068672,33786,919587,1722934,133902,43710.09012,9642897,37,71.16,76.71,100.61,NA
2020-2021,Dec,02,ANDHRA PRADESH,0208,PRAKASAM,24395360,222.926852228038,50,6846,46362.89781,38855,4,59595,24396888,6880339,336076,649949,40818,1843.16703,102593.2793,480166,821785,540885,1131457,43626,823454,1570964,98450,54387.21446,13739164,43,71.26,74.89,100.63,NA
2020-2021,Sep,02,ANDHRA PRADESH,0201,SRIKAKULAM,19218986,222.1348402426,45,9974,18716.55216,19865,39,77859,19228718,2033774,110800,2133699,94846,1675.48581,63105.71998,426160,680935,472178,1057388,13262,625522,1333774,97724,42713.68201,12085397,58,81.48,83.62,100.41,NA
2020-2021,Sep,02,ANDHRA PRADESH,0207,GUNTUR,9641921,222.106748533186,28,4105,12704.11073,30674,4,91692,9643177,3541008,299955,523879,58029,934.70055,35056.95817,335339,570861,419814,900902,5608,843882,1658569,122366,21418.14689,5118140,18,59.33,81.67,100.63,NA
2020-2021,Sep,02,ANDHRA PRADESH,0209,NELLORE,8201640,216.523380623961,33,3234,19040.93253,15498,64,61188,8202048,2736734,244352,519375,53881,907.05306,37707.3372,244515,385094,325202,709425,5049,640817,1290289,76686,17759.35161,4707296,35,74.74,81.28,100.44,NA
2020-2021,Sep,02,ANDHRA PRADESH,0211,Y.S.R,12754654,234.268148842165,51,4096,19870.44923,20529,6,72744,12756654,3033156,157993,329400,16729,1313.15672,51068.38313,249160,400448,302094,652500,23557,596287,1192097,93273,29884.77718,7595608,59,72.83,77.66,100.86,NA
2020-2021,Sep,02,ANDHRA PRADESH,0213,KURNOOL,11813450,219.589603613747,33,4870,14050.98988,25829,6,81399,11814663,3009169,265709,241103,26648,1315.56744,41310.32897,351645,621996,450378,1064984,6392,872239,1837716,107228,25943.77165,6528137,46,73.14,80.96,100.84,NA
2020-2021,Aug,02,ANDHRA PRADESH,0211,Y.S.R,12240303,231.163347615232,49,4067,17404.0257,19283,6,73241,12242303,2915397,157846,315530,16688,1149.87789,46853.62103,246483,395537,301586,651688,19791,594933,1190414,92524,28299.71744,7279419,59,78.13,83.1,100.8,NA
2020-2021,April,02,ANDHRA PRADESH,0213,KURNOOL,1513437,110.164084134325,10,2002,7588.88096,689,30,83471,1513437,344959,263408,31331,26409,182.70137,9438.84634,142444,236913,442700,1052832,1,847823,1796445,84160,1667.26401,819110,50,85.59,90.4,101.22,NA
2020-2021,March,02,ANDHRA PRADESH,0202,VIZIANAGARAM,30665394,238.310329187681,74,11967,31057.98457,44739,25,50522,30710566,3471437,111363,3810992,132389,2842.90157,107087.33707,410263,716614,433715,984370,148032,562284,1209619,95261,73186.45093,18689750,50,70.47,71.51,100.41,NA
2020-2021,March,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,26263969,234.912888370737,68,5630,32269.52045,82762,24,80761,26284434,1473791,52420,10693657,343040,2809.24756,96824.2911113,386035,651690,416629,862700,117465,566213,1103639,163523,61745.5231013,15130424,69,61.12,64.05,100.54,NA
2020-2021,Jan,02,ANDHRA PRADESH,0201,SRIKAKULAM,21542574,215.185470650854,49,10168,31614.15943,32181,39,68274,21552569,2359739,110916,2513491,94906,2691.8778,80684.03427,432140,693919,472798,1058071,26747,630552,1339006,100455,46377.99704,13634342,58,67.67,69.48,100.61,NA
2020-2021,Jan,02,ANDHRA PRADESH,0205,WEST GODAVARI,13769692,219.872732140976,40,4841,34205.44295,42561,63,60566,13777587,5229206,318562,1209518,62055,1304.53562,65803.13553,338162,539524,431858,909521,18959,800932,1565206,103127,30293.15696,7380203,32,59.02,65.82,100.86,NA
2020-2021,Jan,02,ANDHRA PRADESH,0211,Y.S.R,13677050,233.65140971047,53,4152,30832.93333,36288,6,58412,13679050,3232927,158197,356039,16765,2047.77267,64841.99916,253370,408046,302847,653651,32629,600087,1196660,94700,31961.29316,8163832,59,62.52,66.96,101.4,NA
2020-2021,Jan,02,ANDHRA PRADESH,0212,ANANTAPUR,24960212,229.788625288833,60,9822,25958.67542,38254,50,77401,24962480,4718503,217622,1254923,54992,2173.0564,85492.67145,413060,744157,477030,1140375,69939,921836,2008724,115655,57360.93963,13312494,65,74.8,78.06,100.95,NA
2020-2021,Feb,02,ANDHRA PRADESH,0202,VIZIANAGARAM,27140974,226.703341590411,66,11908,28097.52728,44519,25,49231,27177089,3120323,111549,3456114,132715,2529.40613,92238.30232,407905,709278,433787,985733,68505,560082,1208552,93750,61611.36891,16331156,50,75.92,77.08,100.45,NA
2020-2021,Oct,02,ANDHRA PRADESH,0205,WEST GODAVARI,12521500,221.008375784669,37,4748,24888.45015,23567,32,77402,12528856,4738755,318131,1120292,61930,975.35241,53553.62371,332170,528815,430946,907956,11711,789374,1550743,100969,27689.82115,6696745,32,69.07,77.48,100.64,NA
2020-2021,Oct,02,ANDHRA PRADESH,0207,GUNTUR,9691473,222.65810282817,28,4105,14642.07159,34955,4,87595,9692733,3552692,299904,526457,58031,1119.53393,37343.26093,335940,571919,419876,900815,5721,844985,1660215,122550,21581.65541,5144182,18,58.25,79.51,100.68,NA
2020-2021,Oct,02,ANDHRA PRADESH,0210,CHITTOOR,16348520,231.891452664489,52,5688,21715.96977,41003,39,102053,16350885,4770916,262774,692567,37959,1600.51511,61232.78963,311073,503615,413668,935147,42585,740641,1557531,143056,37916.30475,9579590,61,63.27,74.98,100.57,NA
2020-2021,March,02,ANDHRA PRADESH,0204,EAST GODAVARI,21439124,233.768564052325,50,10772,47715.19314,80379,67,58154,21442961,6610060,318574,3863620,171386,3369.78114,101211.8763,427760,635584,522946,1067958,60261,940496,1752127,138533,50126.90202,11052099,37,71.23,76.43,100.71,NA
2020-2021,March,02,ANDHRA PRADESH,0205,WEST GODAVARI,15608743,222.835073639297,45,4979,40031.13215,56658,63,49558,15617273,5904720,318744,1336469,62082,1784.44831,76616.34225,346242,554642,432284,910140,34572,817459,1582866,106216,34800.76179,8426783,32,61.51,67.67,100.89,NA
2020-2021,March,02,ANDHRA PRADESH,0207,GUNTUR,10787239,223.701114766133,31,4214,24633.4089,73768,3,52822,10788810,3915593,300128,589537,58051,2014.59452,50782.69166,341804,583035,420450,901507,12965,881679,1700874,126590,24134.68824,5720827,18,54.28,71.3,101,NA
2020-2021,March,02,ANDHRA PRADESH,0210,CHITTOOR,19622086,234.410594403661,60,5960,37974.30289,81115,39,70559,19624795,5645960,262700,828350,37949,3048.28715,87025.18865,325431,530621,414497,935513,86688,755520,1577160,151674,46002.59861,11535383,61,53.26,62.24,101.14,NA
2020-2021,March,02,ANDHRA PRADESH,0212,ANANTAPUR,28071084,231.749019787198,66,10130,31913.91785,50830,50,69534,28074516,5250763,217674,1398520,55007,3245.5224,100221.85589,423813,767690,477363,1140896,124660,925611,2015421,120364,65062.41564,15051809,64,66.2,69.22,100.92,NA
2020-2021,Oct,02,ANDHRA PRADESH,0202,VIZIANAGARAM,24204736,241.577630169986,60,11708,19583.72663,20227,25,69851,24235848,2759319,112142,3031132,133155,1630.9768,79763.09068,403325,697505,433009,990928,40195,556530,1210333,90078,58548.38725,14369017,51,82.99,84.14,100.28,NA
2020-2021,Oct,02,ANDHRA PRADESH,0206,KRISHNA,10775945,226.415049445779,37,5070,13966.98175,27152,13,80159,10775945,4460448,310723,399293,29934,1090.60912,39455.95207,289476,490179,353546,796234,9565,673587,1421699,107311,24398.3612,5892579,22,64.14,79.52,100.7,NA
2020-2021,Oct,02,ANDHRA PRADESH,0212,ANANTAPUR,23419715,231.528321541772,57,9621,16204.37258,21670,50,91103,23421977,4450792,217155,1185780,54846,1606.81794,72039.70074,405638,728783,475592,1137705,54909,916317,1998534,112773,54228.51022,12470576,66,81.42,84.79,100.77,NA
2020-2021,Aug,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,21304558,233.939976414751,56,5540,13096.2266,36754,25,120924,21321802,1173649,53623,8961582,353692,1276.69718,64253.14235,379256,636135,417342,884258,46010,556544,1136526,157678,49880.21857,12025379,70,82.64,86.77,100.3,NA
2020-2021,Aug,02,ANDHRA PRADESH,0205,WEST GODAVARI,11562886,220.448631647765,35,4686,17549.79787,22344,32,76701,11569828,4390110,317869,1028014,61913,700.67523,43756.00061,327125,519286,430213,907128,7456,786637,1547402,99045,25505.52751,6195535,33,73.25,83.35,100.61,NA
2020-2021,Aug,02,ANDHRA PRADESH,0209,NELLORE,7459631,211.634388640596,31,3163,16834.30064,14905,64,59865,7460039,2488362,244099,460661,53788,801.04752,33423.35609,238122,373925,324478,708413,3417,638831,1287441,74770,15788.00793,4278179,36,76.62,83.37,100.44,NA
2020-2021,Jan,02,ANDHRA PRADESH,0204,EAST GODAVARI,19171474,231.932691191806,45,10635,38562.5535,64978,67,69647,19172409,5921433,318762,3520386,171500,2522.11353,85551.75119,422219,625041,522957,1068556,36797,924003,1729963,134625,44467.08416,9797358,37,70.14,75.49,100.7,NA
2020-2021,Jan,02,ANDHRA PRADESH,0206,KRISHNA,11305376,224.053810328821,38,5157,21184.69415,45705,13,63241,11305376,4669787,311056,420941,29962,1466.18786,47981.00771,293673,497834,354229,797120,12738,681728,1435029,108946,25330.1257,6183799,22,62.41,74.94,101,NA
2020-2021,Jan,02,ANDHRA PRADESH,0208,PRAKASAM,24683740,222.644220422436,51,6864,47167.10214,44580,4,54449,24685273,6958294,336137,656521,40813,1860.25825,103987.69402,481761,824716,541082,1131709,45986,824775,1573077,99029,54960.33363,13903026,43,69.05,72.64,100.74,NA
2020-2021,April,02,ANDHRA PRADESH,0202,VIZIANAGARAM,1759172,98.9959174171275,7,6843,10703.13799,1138,33,72163,1761140,245201,108682,315321,130655,216.20739,12662.80208,227836,332382,415050,965873,1,527052,1169849,73301,1743.4567,1089531,50,84.9,86.29,100.53,NA
2020-2021,May,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,6874111,140.630297167857,22,4528,8466.22011,10531,25,124309,6879950,312002,50746,3418602,351584,582.06551,18723.57975,299456,479598,393116,855865,622,511871,1084110,134840,9675.29413,3898152,69,84.04,88.41,100.43,NA
2020-2021,May,02,ANDHRA PRADESH,0208,PRAKASAM,11594741,167.980285730055,28,5919,18210.34568,10855,2,72081,11595560,3291712,332297,289637,40249,491.32543,38179.92593,412531,683758,529218,1114743,1299,791677,1525216,82936,19478.25482,6516644,44,82.95,85.81,100.43,NA
2020-2021,May,02,ANDHRA PRADESH,0210,CHITTOOR,5586246,177.107426306899,27,3754,9801.56107,20975,27,96338,5586276,1645591,257046,254303,37068,452.8223,20148.09302,204843,313338,398700,910029,507,708104,1504346,117313,9893.70965,3272084,62,68.84,81.56,100.55,NA
2020-2021,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,16280061,229.65683851925,39,10328,18817.22266,13103,50,113447,16280213,5123450,319698,2919578,184223,1200.22888,57406.07402,411720,606576,522334,1083483,12631,898852,1716903,126550,37388.62248,8421427,37,84.97,92.13,100.41,NA
2020-2021,July,02,ANDHRA PRADESH,0205,WEST GODAVARI,11159716,218.657501033262,34,4662,15350.06305,5507,32,92093,11166095,4250923,317736,996006,61979,606.74546,40372.3128,323657,512656,429860,906745,5848,785304,1545505,97600,24415.50429,5988512,33,75.81,86.38,100.55,NA
2020-2021,Feb,02,ANDHRA PRADESH,0201,SRIKAKULAM,23404755,208.166380050563,53,10249,33696.88262,43427,39,58235,23415758,2578386,110940,2634059,94908,3158.58871,85599.20712,435006,700620,472947,1058275,38173,631429,1340113,101662,48743.73579,14955370,57,66.58,68.37,100.6,NA
2020-2021,Feb,02,ANDHRA PRADESH,0206,KRISHNA,11755440,219.272419322458,39,5213,21559.59246,58125,13,51749,11755440,4851073,311148,444637,29997,1729.68931,49065.71946,296046,502334,354666,797526,16611,684872,1439179,109874,25776.43769,6438682,22,62.81,74.41,101.09,NA
2020-2021,Feb,02,ANDHRA PRADESH,0211,Y.S.R,14140282,229.476574201935,55,4179,32100.46989,42260,6,53528,14142293,3323709,158245,367409,16763,2484.24687,67037.96625,254877,411004,302996,653843,37807,600937,1197797,95788,32453.24949,8464734,59,60.86,65.19,101.52,NA
2020-2021,Feb,02,ANDHRA PRADESH,0212,ANANTAPUR,25886968,225.318715167007,62,9914,27990.46946,48392,50,69356,25889248,4866322,217674,1299182,55004,2736.7033,89060.49372,416710,751935,477276,1140808,80779,923134,2011072,117748,58333.32096,13833997,65,72.6,75.8,100.96,NA
2020-2021,June,02,ANDHRA PRADESH,0209,NELLORE,4371160,181.120648129126,22,2600,13643.66809,4195,64,62827,4371166,1451637,242973,247316,53222,554.53271,22115.28499,197262,301112,321331,703764,386,630428,1274904,67022,7917.08419,2526034,37,80.35,86.51,100.47,NA
2020-2021,Dec,02,ANDHRA PRADESH,0205,WEST GODAVARI,13477671,220.223604335095,40,4826,33183.92395,33236,63,69337,13485472,5113854,318488,1189534,62048,1282.96163,64165.07808,336988,537313,431682,909248,17207,798692,1562408,102573,29698.1925,7218306,32,61.76,68.96,100.79,NA
2020-2021,Dec,02,ANDHRA PRADESH,0209,NELLORE,9106546,220.409322759735,36,3318,26451.94102,24863,64,55258,9106960,3024482,244702,586271,54018,1393.00079,47917.53067,251615,397288,326186,710812,8674,645171,1295395,80121,20072.58886,5226567,35,64.4,70.2,100.59,NA
2020-2021,Dec,02,ANDHRA PRADESH,0212,ANANTAPUR,24404565,230.124605586789,59,9729,25539.66951,27819,50,86599,24406827,4624989,217501,1230158,54947,2159.24106,83865.02494,410459,738852,476655,1139683,64526,920373,2006032,114418,56166.11437,13005496,65,76.14,79.39,100.89,NA
2020-2021,Nov,02,ANDHRA PRADESH,0201,SRIKAKULAM,19706577,221.664295563942,46,10024,24374.93694,25591,39,73131,19716424,2084560,110834,2322469,94860,2135.91799,70215.1273,427977,684611,472408,1057494,17129,626946,1335400,98722,43704.27237,12366600,58,73.95,75.93,100.57,NA
2020-2021,Nov,02,ANDHRA PRADESH,0202,VIZIANAGARAM,24278374,241.502353055583,60,11710,22071.55612,23821,25,66393,24309668,2767361,112186,3054269,133280,1638.75942,82418.73578,403510,698009,433219,991174,40881,557399,1211613,90214,58708.42024,14409771,51,80.97,82.14,100.34,NA
2020-2021,Nov,02,ANDHRA PRADESH,0212,ANANTAPUR,23670107,230.838386770669,58,9637,21668.67511,24423,50,88664,23672369,4491217,217287,1198825,54883,1627.7135,77941.30332,407031,731674,476019,1138488,57284,917605,2000897,113087,54644.91471,12605515,66,79.22,82.55,100.87,NA
