fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2020-2021,May,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,29667,1003.90940994986,15,5,1.3746,119,0,422,25930,0,0,0,0,25.89981,287.58812,1699,2003,8347,15033,0,18026,28946,541,260.31371,13938,68,69.07,63.12,178.72,NA
2020-2021,Nov,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,118668,410.956928997694,28,7,37.9178988,242,0,626,117968,0,0,0,0,34.63239,557.3479588,4173,5122,8443,15054,45,18053,28702,868,484.79767,65230,73,63.7,58.39,386.93,NA
2020-2021,Sep,01,ANDAMAN AND NICOBAR,0102,NICOBARS,14606,0,40,1,0,0,10,120,16322,0,0,14904,1838,0,0,400,565,1057,1983,16,6202,10110,120,0,7191,5,71.03,0,0,NA
2020-2021,Sep,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,89001,474.419509187041,24,7,2.0969,221,0,505,87569,0,0,0,0,34.63239,452.17371,3607,4339,8416,15025,19,17967,28598,726,415.44442,48402,71,63.11,58.53,304.83,NA
2020-2021,Oct,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,103835,399.892018152696,26,7,2.0969,224,0,566,104888,0,0,0,0,34.63239,456.16803,3917,4758,8434,15045,33,18034,28682,790,419.43874,57672,72,64.72,59.63,352.23,NA
2020-2021,Sep,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,20115,277.55843712677,17,6,0,9,7,306,29305,0,0,0,0,0,81.3385,1638,1860,4364,6326,1,13222,16885,315,81.3385,15727,44,59.53,78.43,501.5,NA
2020-2021,Aug,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,18516,225.086398981401,17,5,0,3,9,304,21991,0,0,0,0,0,49.49875,1223,1408,4286,6270,0,13132,16825,307,49.49875,11590,45,60.65,85.26,395.59,NA
2020-2021,Aug,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,74168,493.490319902754,21,7,2.0969,178,0,467,67458,0,0,0,0,34.04239,369.03799,3108,3732,8385,14990,8,17696,28283,645,332.8987,36593,70,60.66,55.13,240.02,NA
2020-2021,May,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,14477,862.466117796073,8,4,0,1,9,246,3158,0,0,0,0,0,27.23668,387,428,4184,6343,0,13309,17451,247,27.23668,1732,35,50.93,96.44,413.89,NA
2020-2021,May,01,ANDAMAN AND NICOBAR,0102,NICOBARS,3188,0,23,1,0,0,10,110,6029,0,0,5593,1814,0,0,255,359,1038,1957,0,6138,10042,110,0,2540,6,56.7,0,0,NA
2020-2021,July,01,ANDAMAN AND NICOBAR,0102,NICOBARS,9406,0,35,1,0,0,10,119,12884,0,0,11476,1838,0,0,359,509,1057,1983,11,6194,10102,119,0,5540,5,62.12,0,0,NA
2020-2021,July,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,59334,519.472497112353,21,7,2.0969,174,0,468,64066,0,0,0,0,34.04239,368.94454,3036,3643,8383,14989,6,17686,28269,642,332.80525,34813,70,60.04,54.08,249.42,NA
2020-2021,June,01,ANDAMAN AND NICOBAR,0101,SOUTH ANDAMAN,15704,396.645838779956,13,4,0,1,8,287,11475,0,0,0,0,0,45.51511,822,930,4195,6275,0,13249,17204,288,45.51511,6017,44,64.66,89.67,206.42,NA
2020-2021,June,01,ANDAMAN AND NICOBAR,0103,NORTH AND MIDDLE ANDAMAN,44501,681.473449268004,18,5,2.0969,157,0,428,47268,0,0,0,0,33.94239,358.15816,2586,3111,8365,15043,1,18064,28960,585,322.11887,25260,70,61.8,55.15,188.42,NA
