pc11_district_id,pc11_state_id,secc_cons_urban,secc_cons_pc_urban,secc_pov_rate_urban,secc_pov_rate_tend_urban,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
116,08,109947.18150555923,23090.361089443184,0.1900716050186691,0.22489074806562187,0.111146255477579,0.111146255477579,1.0,1.0
117,08,118710.97671213435,25387.40610268219,0.12728106294818448,0.15364843812559345,0.1837635511420821,0.1837635511420821,1.0,1.0
118,08,118170.40797135816,23843.247249409123,0.13849561141592034,0.17040669777745854,0.0532080016347612,0.0532080016347612,1.0,1.0
119,08,138439.6458620281,27654.495767976812,0.09785152400677818,0.12250789908305418,0.0195429829729285,0.0195429829729285,1.0,1.0
120,08,106804.80927239165,20956.87871241715,0.24762055764888483,0.28889199275894095,0.0643988631606776,0.0643988631606776,1.0,1.0
121,08,114580.46892325644,25295.00404645519,0.12875371477820624,0.15595991899329048,0.0714231188903506,0.0714231188903506,1.0,1.0
122,08,131801.92145900067,28360.502361289113,0.08799066521289158,0.10866902612629589,0.0503614523635824,0.0503614523635824,1.0,1.0
123,08,131918.80681434495,27688.489356384238,0.09616698386260225,0.11835908776838003,0.2125285605483625,0.2125285605483625,1.0,1.0
124,08,126971.59823728853,28448.796083420424,0.14699956185850632,0.1652510412004053,0.1306919982421148,0.1306919982421148,1.0,1.0
125,08,132687.58634497304,30801.221529578277,0.12766377632619477,0.146785670156523,0.124885402872568,0.124885402872568,1.0,1.0
126,08,133216.25984195908,28820.42554846785,0.08944686357362579,0.11271736275003366,0.0417963710808233,0.0417963710808233,1.0,1.0
127,08,133115.81040288077,31453.198397569115,0.060203766661757654,0.07627041623367488,0.074346169144419,0.074346169144419,1.0,1.0
128,08,106101.90434470483,23628.61540661692,0.16288172381717447,0.19334152791179837,0.1828656171571983,0.1828656171571983,1.0,1.0
129,08,115179.07932325851,24415.43275758289,0.14446004808202564,0.17576100358827182,0.353446057629824,0.353446057629824,1.0,1.0
130,08,155922.04490388892,34075.7900613447,0.05040758467615656,0.06225087091174059,0.1429458964607035,0.1429458964607035,1.0,1.0
131,08,118340.18589417118,26432.673711110067,0.12144751471333518,0.15304267931193374,0.1583132563677636,0.1583132563677636,1.0,1.0
132,09,141328.71242973788,27171.574440045708,0.05286530830091463,0.07443440979724535,0.1487989978678437,0.1487989978678437,1.0,1.0
133,09,157378.64940210117,27412.671491168276,0.030489131234517634,0.043783080138228285,0.5951799360704837,0.5951799360704837,1.0,1.0
134,09,103772.37849337368,18039.23555785889,0.20678358112252,0.2606429536697449,0.5607762570895006,0.5607762570895006,1.0,1.0
135,09,121826.38460491372,22408.13336504541,0.16243263432972954,0.1975899605420861,0.0517226807183168,0.0517226807183168,1.0,1.0
136,09,124240.45283857957,24954.537926841556,0.10757566283751556,0.13702516240225673,0.0406780294471899,0.0406780294471899,1.0,1.0
137,09,158281.84844128095,31500.57555588407,0.03215710528563912,0.0441222278778503,0.0153124066682217,0.0153124066682217,1.0,1.0
138,09,145858.61638048795,26732.98118523237,0.08242875799058226,0.10586087224090808,0.0125973321691558,0.0125973321691558,1.0,1.0
139,09,111293.62955890331,22133.244419446524,0.15852271147953326,0.18986576375461164,0.5711080810835378,0.5711080810835378,1.0,1.0
140,09,171018.46343495997,35852.83742782651,0.0240000129316927,0.03166840532116943,0.0972750760700157,0.0972750760700157,1.0,1.0
142,09,130628.37461588814,23146.378270683337,0.13000170579561204,0.16603346969798594,0.0463392392922071,0.0463392392922071,1.0,1.0
143,09,138148.57392969425,25642.7390571734,0.08790300950301518,0.1220498090237298,0.107228035698588,0.107228035698588,1.0,1.0
144,09,152684.54641792036,26888.09776148229,0.05840367039778139,0.07824520131510969,0.071750833350867,0.071750833350867,1.0,1.0
145,09,142625.74791964222,34602.46226218041,0.04844151587561383,0.06617037741978658,0.1187828458729115,0.1187828458729115,1.0,1.0
146,09,150243.22501134564,26588.642664879637,0.054368614739573176,0.07944753242763207,0.0764802798149387,0.0764802798149387,1.0,1.0
147,09,126641.42920078404,23267.24045622313,0.10303860899482632,0.13964954004102426,0.0257990875800708,0.0257990875800708,1.0,1.0
148,09,127629.61404410376,22479.075902526547,0.13253420316332626,0.17047810762640825,0.0,0.0,1.0,1.0
149,09,113051.1303231468,20517.48240047835,0.219264949761884,0.26617691523739606,0.0507807227794195,0.0507807227794195,1.0,1.0
150,09,128104.02907698209,24503.136911865877,0.10428538167545634,0.14263888156644514,0.0707194360654651,0.0707194360654651,1.0,1.0
151,09,111511.44791073528,20829.719062086577,0.1885051570203278,0.2362661683946588,0.0804604242846775,0.0804604242846775,1.0,1.0
152,09,111926.61263547723,21866.91182686996,0.1842055330565214,0.22661266632696245,0.0,0.0,1.0,1.0
153,09,109994.35079199106,22058.557881461755,0.20140797303366706,0.24187094742749887,0.0979036298762566,0.0979036298762566,1.0,1.0
154,09,112239.3961538709,28299.354891798175,0.15166679118052345,0.1888780082854471,0.0204998643516006,0.0204998643516006,1.0,1.0
155,09,115194.82896706225,20700.62052931286,0.20697681130617673,0.24840164346821478,0.0,0.0,1.0,1.0
156,09,120716.73484828779,27880.93469548529,0.12920828127479783,0.1623660386627454,0.1119786474458568,0.1119786474458568,1.0,1.0
157,09,159454.88736496182,32288.415359323728,0.05120067231547194,0.0664063191781383,0.0075064264645297,0.0075064264645297,1.0,1.0
158,09,131215.34209922745,25569.064255729343,0.13929207293841145,0.17327277103727476,0.0,0.0,1.0,1.0
159,09,116026.84539788478,21083.859506081306,0.16746525526587036,0.21389946681438565,0.0276992202986652,0.0276992202986652,1.0,1.0
160,09,120878.70818231005,22238.08735678602,0.17312954683307216,0.21233481285310554,0.0445020492022175,0.0445020492022175,1.0,1.0
161,09,139526.97568542615,26113.269084487696,0.06364941810304743,0.0922463108845348,0.0308764151690286,0.0308764151690286,1.0,1.0
162,09,135585.32738436313,28132.575641433996,0.06408830080595151,0.0893242365022198,0.121713587963556,0.121713587963556,1.0,1.0
163,09,125491.75705776743,28095.210604114378,0.08484238201446721,0.11532612613648113,0.3716000761144715,0.3716000761144715,1.0,1.0
164,09,153915.4255359546,33135.66167313681,0.030146926594798635,0.039486279308487235,0.018135423765065,0.018135423765065,1.0,1.0
165,09,124413.72244065559,22722.03297144027,0.12785499735282924,0.16195482297591718,0.0,0.0,1.0,1.0
