State,District,lgd_district_code,pc11_district_id,pc11_state_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households,poverty_rate,poverty_log,night_lights_log,state_key,district_key,district_merge,wage_timeliness_pct,avg_days_per_hh,women_pct,persondays_per_hh
Andaman And Nicobar Islands,Nicobars,603,638,35,61.650636053366426,64.27718364909613,1.0672469174178842,36842,9288,0.22977314560839,0.2068297179094751,0.0246836923674538,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,NICOBARS,16.666666666666668,21.13888888888889,42.32959062261179,21.637112695139493
Andaman And Nicobar Islands,North And Middle Andaman,632,639,35,69.96412803532009,0.7178234230139113,2.812681229460661,105597,26199,0.2127499019404686,0.1928904272860168,0.035845772371911,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,NORTH AND MIDDLE ANDAMAN,97.22222222222224,24.47222222222222,56.02123927536216,24.928726688028668
Andaman And Nicobar Islands,South Andamans,602,640,35,76.19769256442869,1.7178826078558171,1.99950716372725,238142,59064,0.0634623441356821,0.0615299475425145,0.1838755879779755,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,SOUTH ANDAMAN,91.66666666666669,16.805555555555557,54.04737505539859,17.308817775420117
Andhra Pradesh,Ananthapuramu,502,553,28,48.22277307994979,18.065064045704787,38.88667613289633,4081148,968160,0.0722770124103594,0.0697844363664622,0.3828357050743813,ANDHRA PRADESH,ANANTHAPURAMU,ANANTAPUR,100.0,49.80555555555556,54.28546900372962,50.35650947446734
Andhra Pradesh,Chittoor,503,554,28,56.77367961379364,22.638009383660624,36.237343189695856,4174064,1039953,0.0501798547103344,0.0489614397012591,0.5619834841202599,ANDHRA PRADESH,CHITTOOR,CHITTOOR,99.94277777777778,42.94444444444444,59.55495544625998,43.39098765933639
Andhra Pradesh,East Godavari,505,545,28,60.80782849855761,22.47569794206619,50.23027634877985,5154296,1428528,0.0709239811071894,0.0685218095880912,0.6020771801798234,ANDHRA PRADESH,EAST GODAVARI,EAST GODAVARI,100.0,37.02777777777778,53.29604149775297,37.58425717235306
Andhra Pradesh,Guntur,506,548,28,54.170691523528866,24.642841287095067,49.1647066978236,4887813,1296609,0.0740480761170549,0.0714347586947332,0.6468686293900381,ANDHRA PRADESH,GUNTUR,GUNTUR,100.0,28.97222222222222,53.8833284996388,29.476565071672574
Andhra Pradesh,Krishna,510,547,28,62.69975906912951,22.21471298300482,46.5986963732494,4517398,1243293,0.0658157639053278,0.0637404814498351,0.7674679387279997,ANDHRA PRADESH,KRISHNA,KRISHNA,100.0,34.083333333333336,55.58844294555141,34.539971058023816
Andhra Pradesh,Kurnool,511,552,28,43.7283416640354,20.248760134235837,49.44888251627293,4053463,887652,0.0949543110084649,0.090712637291523,0.3521991886917027,ANDHRA PRADESH,KURNOOL,KURNOOL,99.87805555555556,33.5,56.30631101054279,33.995368641636226
Andhra Pradesh,Prakasam,517,549,28,47.3498886303073,27.63856871392881,49.3001746488574,3397448,860463,0.0797277082530989,0.0767088873601654,0.3879735589377033,ANDHRA PRADESH,PRAKASAM,PRAKASAM,99.98861111111113,40.861111111111114,57.23340288547537,41.31543246518842
