State,District,lgd_district_code,pc11_district_id,pc11_state_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households,poverty_rate,poverty_log,night_lights_log
Andaman And Nicobar Islands,Nicobars,603,638,35,61.650636053366426,64.27718364909613,1.0672469174178842,36842,9288,0.22977314560839,0.2068297179094751,0.0246836923674538
Andaman And Nicobar Islands,North And Middle Andaman,632,639,35,69.96412803532009,0.7178234230139113,2.812681229460661,105597,26199,0.2127499019404686,0.1928904272860168,0.035845772371911
Andaman And Nicobar Islands,South Andamans,602,640,35,76.19769256442869,1.7178826078558171,1.99950716372725,238142,59064,0.0634623441356821,0.0615299475425145,0.1838755879779755
Andhra Pradesh,Ananthapuramu,502,553,28,48.22277307994979,18.065064045704787,38.88667613289633,4081148,968160,0.0722770124103594,0.0697844363664622,0.3828357050743813
Andhra Pradesh,Chittoor,503,554,28,56.77367961379364,22.638009383660624,36.237343189695856,4174064,1039953,0.0501798547103344,0.0489614397012591,0.5619834841202599
Andhra Pradesh,East Godavari,505,545,28,60.80782849855761,22.47569794206619,50.23027634877985,5154296,1428528,0.0709239811071894,0.0685218095880912,0.6020771801798234
Andhra Pradesh,Guntur,506,548,28,54.170691523528866,24.642841287095067,49.1647066978236,4887813,1296609,0.0740480761170549,0.0714347586947332,0.6468686293900381
Andhra Pradesh,Krishna,510,547,28,62.69975906912951,22.21471298300482,46.5986963732494,4517398,1243293,0.0658157639053278,0.0637404814498351,0.7674679387279997
Andhra Pradesh,Kurnool,511,552,28,43.7283416640354,20.248760134235837,49.44888251627293,4053463,887652,0.0949543110084649,0.090712637291523,0.3521991886917027
Andhra Pradesh,Prakasam,517,549,28,47.3498886303073,27.63856871392881,49.3001746488574,3397448,860463,0.0797277082530989,0.0767088873601654,0.3879735589377033
Andhra Pradesh,Srikakulam,519,542,28,46.831808405613145,15.603559450322848,47.24142424410731,2703114,681330,0.125308713333701,0.1180574098645163,0.4852841950884173
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,550,28,55.77835457094227,32.143299420257485,42.41275786219607,2963557,776854,0.067983975022486,0.0657727357648384,0.5369050883058791
Andhra Pradesh,Visakhapatnam,520,544,28,53.23149968001732,22.094542264476974,25.424555021507096,4290589,1097042,0.1164504411794636,0.1101544036545744,0.6123791751225701
Andhra Pradesh,Vizianagaram,521,543,28,44.8762761021372,20.61374960865422,43.99206894562087,2344474,587149,0.1188427498686354,0.112294892081018,0.3335855466168403
Andhra Pradesh,West Godavari,523,546,28,64.56059893065483,23.387806752712624,57.93473457239959,3936966,1091525,0.0619374541354715,0.0600950266743593,0.6266638746650942
Andhra Pradesh,Y.S.R. Kadapa,504,551,28,50.46977266944946,18.79222291722825,36.88340526880655,2882469,706204,0.0550784966619241,0.0536151685790437,0.3369505069369677
Arunachal Pradesh,Anjaw,628,260,12,35.89026915113872,77.72003590494639,0.8959412780656304,21167,4612,0.2249938792976759,0.2029358474925147,0.0046914241155918
Arunachal Pradesh,Changlang,229,253,12,40.892000336709785,36.348548837585845,4.871466561607407,148226,29521,0.2091918128191192,0.1899522131585302,0.2354162514449823
Arunachal Pradesh,Dibang Valley,230,257,12,50.752089136490255,71.22688655672164,2.01980198019802,8004,1952,0.1534318443888637,0.1427417109639347,0.0023812435226101
Arunachal Pradesh,East Kameng,231,247,12,42.21470625078291,92.0066082094294,1.6333001511632197,78690,14508,0.3203794375927334,0.2779191480134292,0.0089654688749865
Arunachal Pradesh,East Siang,232,251,12,57.77424742352031,70.53339246477312,7.743165167669306,99214,19107,0.1748719087483233,0.1611591278224685,0.0365006762949884
Arunachal Pradesh,Kurung Kumey,233,256,12,34.963000983788874,98.57509014292542,3.947152470047595,92076,15037,0.2646030889588462,0.2347583092764685,0.0020999011102787
