State,District,STUNTING,WASTING,UNDERWEIGHT,ANEMIA,INST_DEL,SANITATION,CLEAN_FUEL,IMMUNIZATION
Andaman And Nicobar Islands,Nicobars,21.6,15.7,24.6,37.7,97.8,83.5,56.9,64.2
Andaman And Nicobar Islands,North And Middle Andaman,27.0,27.0,42.8,30.4,97.7,86.4,61.3,0.0
Andaman And Nicobar Islands,South Andamans,21.1,12.6,17.4,43.4,99.5,89.3,91.9,76.3
Andhra Pradesh,Ananthapuramu,36.0,19.3,40.6,55.8,94.7,71.3,86.4,81.8
Andhra Pradesh,Chittoor,27.1,14.8,27.9,54.9,97.1,74.6,86.6,66.6
Andhra Pradesh,East Godavari,23.1,14.3,22.4,66.8,96.6,77.7,80.3,59.0
Andhra Pradesh,Guntur,23.8,17.8,26.9,59.3,98.6,83.4,91.7,76.2
Andhra Pradesh,Krishna,29.8,14.3,21.1,65.7,98.9,79.1,89.8,90.0
Andhra Pradesh,Kurnool,50.5,16.7,46.3,70.8,88.5,73.5,78.1,67.0
Andhra Pradesh,Prakasam,22.6,8.7,24.7,62.6,97.4,78.4,90.8,51.9
Andhra Pradesh,Sri Potti Sriramulu Nellore,29.2,17.2,27.8,67.5,97.0,81.8,84.6,65.3
Andhra Pradesh,Srikakulam,19.7,19.5,21.4,59.6,97.9,71.6,74.7,82.8
Andhra Pradesh,Visakhapatnam,31.0,21.5,33.5,72.6,95.3,77.8,72.9,76.5
Andhra Pradesh,Vizianagaram,36.4,19.2,32.2,66.7,99.0,61.7,60.3,76.8
Andhra Pradesh,West Godavari,31.4,11.7,22.5,62.3,98.7,80.8,86.8,80.0
Andhra Pradesh,Y.S.R.,34.4,14.1,26.7,60.6,99.4,85.4,94.3,83.0
Arunachal Pradesh,Anjaw,23.6,14.3,16.0,57.1,78.0,86.8,29.0,93.0
Arunachal Pradesh,Changlang,26.3,16.3,25.0,65.3,75.1,82.3,34.1,70.9
Arunachal Pradesh,Dibang Valley,16.9,18.1,16.0,88.6,85.5,95.0,49.3,90.7
Arunachal Pradesh,East Kameng,35.7,15.8,14.2,51.7,76.0,75.6,49.5,60.8
Arunachal Pradesh,East Siang,24.6,8.6,10.3,51.5,90.8,83.9,52.4,48.8
Arunachal Pradesh,Kra Daadi,28.8,9.4,14.5,62.0,73.5,89.3,78.3,63.6
Arunachal Pradesh,Kurung Kumey,29.2,15.1,13.9,62.4,69.2,78.3,57.3,71.4
Arunachal Pradesh,Lohit,24.5,12.7,12.9,52.5,90.2,83.7,63.9,74.0
Arunachal Pradesh,Longding,15.8,20.6,13.8,38.4,64.5,83.5,22.4,52.7
Arunachal Pradesh,Lower Dibang Valley,14.3,7.6,9.7,51.5,90.1,89.9,57.4,73.8
Arunachal Pradesh,Lower Subansiri,30.7,11.5,8.1,52.4,89.8,82.8,60.8,66.5
Arunachal Pradesh,Namsai,28.7,12.4,17.7,59.2,63.6,75.1,28.7,67.2
Arunachal Pradesh,Papum Pare,29.7,9.0,15.6,53.4,88.0,75.7,81.3,60.7
Arunachal Pradesh,Siang,21.3,12.1,8.8,24.9,81.1,91.2,27.6,60.3
Arunachal Pradesh,Tawang,30.4,7.1,9.0,89.6,84.2,81.7,88.1,67.5
Arunachal Pradesh,Tirap,38.6,13.8,16.0,48.4,70.2,86.7,50.4,66.3
Arunachal Pradesh,Upper Siang,30.4,12.5,12.0,51.0,76.0,91.8,36.3,61.4
Arunachal Pradesh,Upper Subansiri,36.8,12.2,19.2,60.4,77.0,80.9,32.8,68.5
Arunachal Pradesh,West Kameng,24.2,23.2,13.4,66.6,93.6,88.9,88.9,56.2
