state_name,district_code,district_name,wage_timeliness_pct,avg_days_per_hh,women_pct,persondays_per_hh
ANDAMAN AND NICOBAR,101,SOUTH ANDAMAN,91.66666666666667,16.805555555555557,54.04737505539859,17.308817775420117
ANDAMAN AND NICOBAR,102,NICOBARS,16.666666666666668,21.13888888888889,42.32959062261179,21.637112695139493
ANDAMAN AND NICOBAR,103,NORTH AND MIDDLE ANDAMAN,97.22222222222223,24.47222222222222,56.02123927536216,24.928726688028668
ANDHRA PRADESH,201,SRIKAKULAM,99.76138888888889,41.75,65.25127674595073,42.3301865222524
ANDHRA PRADESH,202,VIZIANAGARAM,100.0,51.44444444444444,61.76726576295055,51.880744343550326
ANDHRA PRADESH,203,VISAKHAPATANAM,100.0,47.25,58.18168388439884,47.69468558209306
ANDHRA PRADESH,204,EAST GODAVARI,100.0,37.02777777777778,53.29604149775297,37.58425717235306
ANDHRA PRADESH,205,WEST GODAVARI,100.0,35.833333333333336,54.70986075430117,36.312106823305605
ANDHRA PRADESH,206,KRISHNA,100.0,34.083333333333336,55.58844294555141,34.539971058023816
ANDHRA PRADESH,207,GUNTUR,100.0,28.97222222222222,53.8833284996388,29.476565071672578
ANDHRA PRADESH,208,PRAKASAM,99.98861111111111,40.861111111111114,57.23340288547537,41.31543246518842
ANDHRA PRADESH,209,NELLORE,99.99472222222222,32.611111111111114,59.404314059808,33.04880870282362
ANDHRA PRADESH,210,CHITTOOR,99.94277777777778,42.94444444444444,59.55495544625998,43.39098765933639
ANDHRA PRADESH,211,Y.S.R,100.0,45.666666666666664,61.14054905333712,46.160213248441906
ANDHRA PRADESH,212,ANANTAPUR,100.0,49.80555555555556,54.28546900372962,50.35650947446734
ANDHRA PRADESH,213,KURNOOL,99.87805555555556,33.5,56.30631101054279,33.995368641636226
ARUNACHAL PRADESH,301,TAWANG,58.333333333333336,31.5,49.39835742232259,31.941944058507374
ARUNACHAL PRADESH,302,WEST KAMENG,86.11111111111111,34.02777777777778,34.51860407909021,34.49997971113274
ARUNACHAL PRADESH,303,EAST KAMENG,69.44444444444444,33.05555555555556,42.76588055123842,33.47279007086061
ARUNACHAL PRADESH,304,LOWER SUBANSIRI,80.55555555555556,26.86111111111111,49.807583891966985,27.32304287082218
ARUNACHAL PRADESH,305,UPPER SUBANSIRI,77.77666666666667,32.138888888888886,43.96935595307224,32.593007745579634
ARUNACHAL PRADESH,306,WEST SIANG,72.22222222222223,12.11111111111111,30.434236558907546,12.518364878073173
ARUNACHAL PRADESH,307,EAST SIANG,83.33333333333333,19.305555555555557,40.98440233214178,19.688043707716908
ARUNACHAL PRADESH,309,LOHIT,75.0,50.05555555555556,40.41178010683428,50.445653225832956
ARUNACHAL PRADESH,310,CHANGLANG,75.0,39.111111111111114,31.229823698540297,39.48559099692436
ARUNACHAL PRADESH,311,TIRAP,75.0,35.0,27.478078725725375,35.49830776049765
ARUNACHAL PRADESH,312,PAPUM PARE,72.22222222222223,34.75,46.74679587287053,35.263249400625455
ARUNACHAL PRADESH,313,UPPER SIANG,77.77777777777777,23.916666666666668,27.581793087829475,24.46457028869378
ARUNACHAL PRADESH,314,LOWER DIBANG VALLEY,61.111111111111114,16.416666666666668,35.81505379152858,16.857955741508775
ARUNACHAL PRADESH,315,UPPER DIBANG VALLEY,77.68583333333333,23.555555555555557,48.45774376226032,23.87933133300602
ARUNACHAL PRADESH,316,KURUNG KUMEY,75.0,26.75,46.23997865433638,27.273993503904858
ARUNACHAL PRADESH,317,ANJAW,60.77388888888889,28.75,45.68574715358736,29.18668169454226
ARUNACHAL PRADESH,318,LONGDING,61.111111111111114,25.194444444444443,27.54557200748913,25.677096556422033
ARUNACHAL PRADESH,319,KRA-DAADI,75.0,31.666666666666668,48.35293724638311,32.02988071922446
ARUNACHAL PRADESH,320,SIANG,80.55555555555556,28.13888888888889,32.12859653301815,28.691464169205794
ARUNACHAL PRADESH,321,NAMSAI,83.33333333333333,37.44444444444444,23.430626825134112,37.88695246195217
ARUNACHAL PRADESH,322,SHI YOMI,41.666666666666664,26.38888888888889,34.78043086223724,26.76315489461034
ARUNACHAL PRADESH,323,PAKKE KESSANG,47.22222222222222,31.333333333333332,42.58449541087035,31.707556413416416
ARUNACHAL PRADESH,324,LEPARADA,44.44444444444444,18.25,29.1180898492102,18.56769226252307
ARUNACHAL PRADESH,325,KAMLE,52.673611111111114,26.13888888888889,42.70920146618842,26.61889979278749
ARUNACHAL PRADESH,326,LOWER SIANG,80.55555555555556,28.02777777777778,37.662859288763286,28.528075157895483
ASSAM,401,DHUBRI,100.0,27.444444444444443,42.01164784276217,28.004371026802875
ASSAM,402,KOKRAJHAR,100.0,25.88888888888889,45.428848910776296,26.35147907059652
ASSAM,403,BONGAIGAON,100.0,19.11111111111111,41.457880336981404,19.63847359149904
ASSAM,404,GOALPARA,97.14944444444444,19.97222222222222,44.31264818540697,20.444345266507828
ASSAM,405,BARPETA,99.98833333333333,27.055555555555557,41.36940518780927,27.502194434509097
ASSAM,406,NALBARI,100.0,28.333333333333332,40.224685474541644,28.86022805974215
ASSAM,407,KAMRUP,99.99944444444445,23.88888888888889,40.05259700046397,24.415337419756767
ASSAM,408,DARRANG,99.95833333333333,25.805555555555557,44.89983419735477,26.286213348033638
ASSAM,409,SONITPUR,100.0,22.97222222222222,45.39765076784724,23.45468060228329
ASSAM,410,LAKHIMPUR,99.99555555555555,28.22222222222222,49.83373271806973,28.763680241286124
ASSAM,411,DHEMAJI,99.86277777777778,26.694444444444443,50.90942910067601,27.228165857886886
ASSAM,412,Morigaon,97.215,20.083333333333332,41.63450824312211,20.509052151184616
ASSAM,413,NAGAON,99.97555555555556,24.444444444444443,40.900161170126985,24.973031914279943
ASSAM,414,GOLAGHAT,100.0,16.055555555555557,44.5002235250787,16.527234576435873
ASSAM,415,JORHAT,100.0,14.722222222222221,46.5022108768883,15.207130063311869
ASSAM,416,SIVASAGAR,99.99472222222222,13.083333333333334,44.55054215591089,13.600146786285897
ASSAM,417,DIBRUGARH,99.90388888888889,15.777777777777779,49.18469032723987,16.25408222107724
ASSAM,418,TINSUKIA,100.0,15.88888888888889,45.101556740166984,16.366112459603674
ASSAM,419,KARBI ANGLONG,99.98750000000001,20.47222222222222,50.831667985290515,21.019605862656995
ASSAM,420,Dima Hasao,97.22222222222223,23.11111111111111,35.379521585968305,23.473675701949308
ASSAM,421,KARIMGANJ,100.0,20.22222222222222,36.336904067957384,20.63793266255727
ASSAM,422,HAILAKANDI,99.88194444444444,20.13888888888889,28.0816808696842,20.68578303870172
