pc11_state_id,pc11_district_id,poverty_rate,poverty_log
1.0,1,0.3084096501434883,0.2688123921849205
1.0,2,0.2565594397045746,0.22837738265626378
1.0,3,0.11163968417442785,0.10583611829794354
1.0,4,0.2900344175158637,0.2546688982625249
1.0,5,0.2323066697784783,0.20888775441055552
1.0,6,0.16263947839459003,0.15069283269688116
1.0,7,0.1542265004531202,0.14343042304945036
1.0,8,0.21094208420456426,0.19139863865816853
1.0,9,0.4117684836425216,0.3448431622016021
1.0,10,0.16787611942863495,0.15518681664803152
1.0,11,0.2956857901992514,0.2590401227014296
1.0,12,0.1809846929412205,0.16634857603150086
1.0,13,0.1919677714995716,0.1756055309450686
1.0,14,0.19145247310553548,0.17517312847367786
1.0,15,0.24079029095006582,0.21574850801887657
1.0,16,0.1830926199060176,0.16813187432886983
1.0,17,0.2460726294637191,0.2199967087657526
1.0,18,0.23183806195294554,0.20850741325189917
1.0,19,0.19625189557932723,0.17919324838508996
1.0,20,0.2135329899725149,0.1935359316184651
1.0,21,0.079980763148229,0.07694322907770659
1.0,22,0.05298718741314625,0.05163106537899493
2.0,23,0.1198813639843095,0.11322275468254331
2.0,24,0.045950644095454046,0.04492617915227124
2.0,25,0.2034324852968753,0.1851778780358074
2.0,26,0.0858793081556607,0.08239008104089862
2.0,27,0.055965880491458904,0.05445587462142198
2.0,28,0.03816452215976665,0.03745427137455395
2.0,29,0.05591101301326075,0.05440391375345732
2.0,30,0.040690119514155146,0.039884069539693194
2.0,31,0.0431422258313243,0.04223752897653402
2.0,32,0.13142211614518834,0.12347535132751264
2.0,33,0.05633029729728015,0.05480091790963945
2.0,34,0.0958071067639946,0.09149117555834312
3.0,35,0.07945303559816129,0.07645446432753934
3.0,36,0.04368544934526715,0.042758150331784914
3.0,37,0.040532582299164795,0.039732680440243175
3.0,38,0.05636560080310245,0.05483433824794495
3.0,39,0.052639776448918846,0.05130108198370003
3.0,40,0.08250595448505416,0.07927868155841304
3.0,41,0.07979243335028706,0.0767688313226788
3.0,42,0.10374380192674974,0.09870785745186252
3.0,43,0.159650777527483,0.14811890593684596
3.0,44,0.152865951142012,0.14225097359315372
3.0,45,0.09535625733996095,0.09107965952281423
3.0,46,0.09262633875970244,0.08858428318691196
3.0,47,0.1415042167719969,0.13234688104308628
3.0,48,0.07548999362963525,0.07277636575827039
3.0,49,0.08098439290150736,0.07787210090391801
3.0,50,0.118333640361798,0.11183975629659879
3.0,51,0.065064356579082,0.06303522604840037
3.0,52,0.0532446083257703,0.05187550278082939
3.0,53,0.10869941958478294,0.10318763428632043
3.0,54,0.0978467264850937,0.09335073997815414
4.0,55,0.05503143689119845,0.053570564485214175
5.0,56,0.12470726952931255,0.11752279693439117
5.0,57,0.0728011557814699,0.07027313033511481
5.0,58,0.0590812337715866,0.05740177167697088
5.0,59,0.09053968515686606,0.08667269770473539
5.0,60,0.10160671164015324,0.09676976104279057
5.0,61,0.0612904653733707,0.05948558783250804
5.0,62,0.07996768614901201,0.07693112045611296
5.0,63,0.08920838853094624,0.08545118334027693
5.0,64,0.0672732784250917,0.0651070580133723
5.0,65,0.1395342936232453,0.13061966457610455
5.0,66,0.10435758786255285,0.09926379745937296
5.0,67,0.15649847773220904,0.14539688641716242
5.0,68,0.16168092272989915,0.14986802754646425
6.0,69,0.0963733340628225,0.09200776379248177
6.0,70,0.09842815891783666,0.0938802114484064
6.0,71,0.12787290051188244,0.12033346987618582
6.0,72,0.11726986786501946,0.11088809150170187
6.0,73,0.13432490455344148,0.12603767622073764
6.0,74,0.13202930878653218,0.12401187060000142
6.0,75,0.1343909558016378,0.1260959040926093
6.0,76,0.1037544950025759,0.09871754541025515
6.0,77,0.1123726821598133,0.10649528550674314
6.0,78,0.13805529948855366,0.12932092809868861
6.0,79,0.1277571283831452,0.1202308181759018
6.0,80,0.1018694229609012,0.09700821274904453
6.0,81,0.1065029647094496,0.1012045598632175
6.0,82,0.08986889495355291,0.08605740914772421
6.0,83,0.08346196401353935,0.0801614366374719
6.0,84,0.09851439827937156,0.09395871997499183
6.0,85,0.061560388346377046,0.05973989017691253
6.0,86,0.14197066754399346,0.13275542574107116
6.0,87,0.22874495668323258,0.2059932880421142
6.0,88,0.09544998467211506,0.09116522375977314
6.0,89,0.1687612824482813,0.15594445500585016
7.0,90,0.04710622915229575,0.04603038725003145
7.0,91,0.04710622915229575,0.04603038725003145
7.0,92,0.04710622915229575,0.04603038725003145
7.0,93,0.04710622915229575,0.04603038725003145
,94,0.0277184980478295,0.027341294949614334
,95,0.0277184980478295,0.027341294949614334
7.0,96,0.04710622915229575,0.04603038725003145
7.0,97,0.04710622915229575,0.04603038725003145
7.0,98,0.04710622915229575,0.04603038725003145
8.0,99,0.20490921157480826,0.1864042210127396
8.0,100,0.2059730701515066,0.1872867681647216
8.0,101,0.2399664715808941,0.2150843402037178
8.0,102,0.271909505764402,0.24051931912014857
8.0,103,0.15387335240629213,0.14312441544830926
8.0,104,0.166005884080737,0.15358413429698878
8.0,105,0.21817077915275668,0.19735037222790788
8.0,106,0.3480930874644361,0.2986910660883801
8.0,107,0.26994580643154487,0.23897422745887412
8.0,108,0.24927481911763472,0.22256323825926327
8.0,109,0.2047504664003436,0.18627246367277556
8.0,110,0.1449133022469843,0.1353289155778222
8.0,111,0.17502873829397542,0.16129260541955956
8.0,112,0.224887725567048,0.2028491871980061
8.0,113,0.18014869310171455,0.16564044164198916
8.0,114,0.3032734732573003,0.2648791558273371
8.0,115,0.278162400203551,0.2454234215938616
8.0,116,0.28502991984469006,0.25078200200194556
8.0,117,0.28641384396426045,0.251858381172795
8.0,118,0.20766603646271475,0.18868960140868668
8.0,119,0.17265253702166705,0.1592683084174738
8.0,120,0.2857693726937332,0.2513572727915261
8.0,121,0.2577226174664785,0.22930263910596826
8.0,122,0.1903679064314251,0.1742624244101907
8.0,123,0.18596128983973595,0.17055366078462877
8.0,124,0.36912765543150333,0.3141737891698011
8.0,125,0.3148798319457816,0.27374527890335176
8.0,126,0.2957713755694971,0.25910617462882196
8.0,127,0.20377515349311445,0.18546257985631673
8.0,128,0.25511413207082284,0.22722651033788616
8.0,129,0.265243472946769,0.235264572392377
8.0,130,0.27250101361804563,0.24098426599864442
8.0,131,0.3117717011393518,0.27137866710276737
9.0,132,0.11268505351868324,0.10677606146676726
9.0,133,0.101769519719475,0.09691754159638
9.0,134,0.2657845448524907,0.23569212349821939
9.0,135,0.2606564606781714,0.23163258582795945
9.0,136,0.2255654639469461,0.20340234071269425
9.0,137,0.11465546227423451,0.1085453547163569
9.0,138,0.1914365005179717,0.17515972240420435
9.0,139,0.2017437079324069,0.18377359202404034
9.0,140,0.12016895136111655,0.11347952335994041
9.0,141,0.1395574782075259,0.1306400100352633
9.0,142,0.1729235855076344,0.15949942305457332
9.0,143,0.14936776781146172,0.1392120240773365
9.0,144,0.12074882981578106,0.11399705994470798
9.0,145,0.1026893109747972,0.09775202423301703
9.0,146,0.12317837494356125,0.11616250102675305
9.0,147,0.170863902456291,0.15774185451038975
9.0,148,0.2330731748841279,0.20950956944810983
9.0,149,0.32263222826225135,0.2796238633154331
9.0,150,0.240167777181411,0.215246674642718
9.0,151,0.31378300907932194,0.27291076873872
9.0,152,0.31430372911047055,0.27330704183762194
9.0,153,0.3299306104774263,0.28512676829926265
9.0,154,0.313187255534806,0.2724572017054313
9.0,155,0.30897344315536845,0.26924319883454184
9.0,156,0.23930694463356045,0.21455230774729134
9.0,157,0.1894507472956547,0.17349164367885958
9.0,158,0.2498335194943585,0.22301035803986619
9.0,159,0.27539949839201117,0.24325946160431294
9.0,160,0.26547445139052933,0.23544711224968823
9.0,161,0.18798060641798006,0.1722548962432162
9.0,162,0.18475963541960205,0.169539914704067
9.0,163,0.21177143626948045,0.19208328592686408
9.0,164,0.189018054254137,0.17312780199549666
9.0,165,0.2162877848613607,0.19580342072522888
9.0,166,0.13756890206384215,0.12889344325142177
9.0,167,0.1799085535561043,0.1654369384881745
9.0,168,0.2309125349144392,0.20775579261824234
9.0,169,0.25434646688019613,0.22661469342799434
9.0,170,0.29242234425502606,0.25651824378116944
9.0,171,0.3208585013948447,0.2782819050375452
9.0,172,0.24920784314716155,0.2225096249430688
9.0,173,0.26849745333621877,0.23783309243690973
9.0,174,0.2696262617988321,0.23872257511287726
9.0,175,0.22388619647928304,0.20203120303491812
9.0,176,0.2728167411342667,0.24123235095169274
9.0,177,0.2855366016073235,0.2511762199807195
9.0,178,0.2852934700676809,0.2509870736477539
9.0,179,0.21837413366780115,0.19751729261952194
9.0,180,0.3130497705844872,0.2723525006071854
9.0,181,0.3359517884973362,0.2896439880092326
9.0,182,0.36320897888849324,0.3098414636971712
9.0,183,0.2757101375485071,0.24350299418610002
9.0,184,0.37461014011453636,0.31817015645288405
9.0,185,0.2923070069737904,0.25642899862963564
9.0,186,0.35799199703596246,0.30600713592029
9.0,187,0.2912124796929307,0.25558168367653195
9.0,188,0.2456378381588832,0.21964771853201676
9.0,189,0.27638612582543476,0.2440327455927675
9.0,190,0.2610158135157784,0.23191759736075623
9.0,191,0.21101477143095598,0.1914586622099873
9.0,192,0.3158144193755315,0.27445580424744986
9.0,193,0.3068178389394114,0.26759505150821095
9.0,194,0.2487183903752655,0.2221177376474461
9.0,195,0.2800604138063409,0.24690727510392554
9.0,196,0.23747484051050063,0.2130728843534272
9.0,197,0.22248853429007798,0.20088856341908615
9.0,198,0.3185959272455735,0.2765674789963825
9.0,199,0.29442559108911665,0.2580670377455637
9.0,200,0.2892761029610236,0.2540809003687713
9.0,201,0.25294506136539835,0.22549682927462741
9.0,202,0.29145571382319435,0.2557700424688797
10.0,203,0.30770151845729066,0.26827103009603726
10.0,204,0.2926225144981236,0.2566731116882542
10.0,205,0.24598225218037434,0.21992417642784134
10.0,206,0.26001225074028234,0.23112144372586832
10.0,207,0.3242852115910583,0.2808728509255508
10.0,208,0.32784704882288596,0.2835588703420464
10.0,209,0.34979168750738066,0.29995027499392346
