pc11_state_id,pc11_district_id,night_lights_log
28,532,0.4222192290424104
28,533,0.6592648600602916
28,534,0.7515535782824982
28,535,0.9503488735252236
28,536,3.8118082350815072
28,537,1.636112653573386
28,538,0.6277102781822376
28,539,0.683408161910713
28,540,0.5585597628982707
28,541,0.38140915288125254
28,542,0.48528419508841736
28,543,0.33358554661684037
28,544,0.6123791751225701
28,545,0.6020771801798234
28,546,0.6266638746650942
28,547,0.7674679387279997
28,548,0.6468686293900381
28,549,0.38797355893770336
28,550,0.5369050883058791
28,551,0.3369505069369677
28,552,0.35219918869170275
28,553,0.38283570507438136
28,554,0.5619834841202599
2,23,0.07340062272643696
2,24,0.20559128506395513
2,25,0.0037326270998094997
2,26,0.08464606525007351
2,27,0.16480074436898556
2,28,0.2012785195267473
2,29,0.4922314583244077
2,30,0.39601927749446136
2,32,0.2632375878879434
2,34,0.041124880277370525
18,300,0.3161494227791821
18,301,0.4252345159271966
18,302,0.533980367685888
18,303,0.24768164930826345
18,304,0.35680321639539436
18,305,0.4409640494502885
18,306,0.33613279438779803
18,307,0.17408100099965476
18,308,0.09940858897824813
18,309,0.871586559825372
18,310,0.7981998821754623
18,311,0.6289294597987931
18,312,0.2879304944275716
18,313,0.6860755777464425
18,316,0.30879976727572617
18,317,0.4141815447802522
18,318,0.23922673709227957
18,319,0.5185603210192129
18,320,0.2859856097250646
18,321,0.43994929712687064
18,322,1.369525866835772
18,323,0.2725948776585703
18,324,0.18087425625474302
18,325,0.3543057530485606
18,326,0.3012990956485217
10,203,0.557117164490218
10,204,0.9360518683677727
10,205,1.0523018007798681
10,206,0.9394621025789299
10,207,0.9238352723401673
10,208,0.8332780824578034
10,209,0.7629267647905228
10,210,0.5539430059903538
10,211,0.844722786187544
10,212,0.6833210260833876
10,213,0.9142166459923603
10,214,0.9165923607498975
10,215,0.9771699909466186
10,216,1.1823818517852638
10,217,0.9830894502706001
10,218,0.9498122268399034
10,219,1.069020353667294
10,220,1.2066813571707802
10,221,0.9909835921526794
10,222,1.2215677402947789
10,223,0.7139505893666154
10,224,1.0563899843269136
10,225,0.6491068060081424
10,226,0.8707318453079875
10,227,0.8497803303976846
10,228,1.0215693955571268
10,229,1.0874821317572847
10,230,1.5852308295653805
10,231,1.0070927263459195
10,232,0.9365554837358487
10,233,0.6048828632297459
10,234,0.8723904322959712
10,235,0.923176034312116
10,236,0.9818905221220126
10,237,0.8041985978622522
10,238,0.6400430572317187
10,239,1.2634456354637282
10,240,1.0208527338929825
4,55,3.1416130557496555
22,400,0.279149678699522
22,401,0.36426782500439975
22,402,0.325209025230853
22,403,0.6773232164005855
22,404,0.6807508290122427
22,405,0.8706195920336824
22,406,0.8432059991998367
22,407,0.5133253728867934
22,408,0.4085104465275321
22,409,0.8449621023587572
22,410,0.7696654876264231
22,411,0.5821530303895112
22,412,0.35963024686838063
22,413,0.19665304383067028
22,414,0.2352959886300603
22,416,0.14399764060783113
26,496,1.4461054472462533
25,494,1.5276895692039592
25,495,2.2399064723698476
7,90,3.0361287538041632
7,91,3.4372419561171252
7,92,3.347805724397066
7,93,3.7162779307164984
7,94,3.912973944731906
7,95,3.86579900821521
7,96,3.5734002936786733
7,97,3.1493838062126396
7,98,3.204282855498907
6,69,1.2938446371854175
6,70,1.3047121825365389
6,71,1.002800308488396
6,72,1.0481907210406298
6,73,0.7422125933764417
6,74,1.073091262103111
6,75,1.5275762669952921
6,76,1.225107267062124
6,77,0.8198614989292029
6,78,0.7153927486752601
6,79,0.6039902682412722
6,80,0.8154351422805707
6,81,0.6497854054880926
6,82,1.1020855647250136
6,83,1.182815617151717
6,84,0.7773666939929476
6,85,1.1882101143562862
6,86,2.294932658062329
6,87,1.176006034000203
6,88,2.3250288119220155
6,89,1.2643487113756893
30,585,1.1044740177849333
30,586,0.7558598264571842
24,468,0.30684069413117443
24,469,0.37881486485980703
24,470,0.4088444996445415
24,471,0.9301187871243356
24,472,0.4820059473198342
24,473,1.478115276119672
24,474,1.217944737562721
24,475,0.47470452728027346
24,476,0.8048333941973855
24,477,0.7845991854472814
24,478,0.5508172675603101
24,479,0.5657695631223398
24,480,0.36874597824725125
24,481,0.5357096655833443
24,482,0.8366803860774651
24,483,0.7689332639110282
24,484,0.5073594789423636
24,485,0.3883177618873265
24,486,0.9914734608831417
24,487,0.3241291821606023
24,488,1.1565315586757376
24,489,0.0728279148616243
24,490,0.6358724055432731
24,491,0.7656225591248367
24,492,1.475436432742578
24,493,0.37389421626683234
1,1,0.1696925119397294
1,2,0.705365299538801
1,3,0.010296070362747085
1,4,0.021810809630523745
1,5,0.49198262593938896
1,6,0.47409040824043874
1,7,0.5922373513178282
1,8,0.38967157579684586
1,9,0.14452511352937514
1,10,1.918643993239171
1,11,0.36326247148965823
1,12,0.5688046933954485
1,13,0.2978347404442109
1,14,0.24870810496064533
1,15,0.13180419877404473
1,16,0.19523093976823214
1,17,0.42839208380650806
1,18,0.039195763360133085
1,19,0.502510744163647
1,20,0.3109220950267106
1,21,1.289163004364243
1,22,1.1793838973684032
20,346,0.2431814700589891
20,347,0.3388265266731811
20,348,0.6951660661359949
20,349,0.5692883111727645
20,350,0.9268251560932274
20,351,0.7116349034175715
20,352,0.5449619749171474
20,353,0.43302348702643173
20,354,1.4513346230087365
20,355,1.0890511980887554
20,356,0.4452588438089049
20,357,1.019139052270943
20,358,0.5138438838758658
20,359,0.2344714094230182
20,360,0.7566076916816394
20,361,1.1843236607949097
20,362,0.4137990245837467
20,363,0.6128265507882856
20,364,1.0235679953825547
20,365,0.28539725618746753
20,366,0.14956965843767325
20,367,0.0931678439003756
20,368,0.3791459476190026
20,369,0.8783026760627399
29,555,0.5122987838894149
29,556,0.5306561858385523
29,557,0.4154086021811176
29,558,0.5721491108096696
29,559,0.4992913748855522
29,560,0.5064047619796829
29,561,0.43098570207505343
29,562,0.7007494339213576
29,563,0.19607717359043025
29,564,0.5726946707048851
29,565,0.6980256667551078
29,566,0.5468811783507406
29,567,0.6358525275601576
29,568,0.335310353150624
29,569,0.29667086528544867
29,570,0.281632030512392
29,571,0.6502309317601097
29,572,3.022819244857733
29,573,0.7336221077929801
29,574,0.6613540155823492
29,575,0.6014528491792617
29,576,0.11529272180783937
29,577,0.8309867262566282
29,578,0.34613184597754404
29,579,0.500263860137969
29,580,0.41774899544522603
29,581,0.9967091399114354
29,582,0.6618790789169621
29,583,1.4456336525591618
29,584,0.8842339239988549
32,588,0.34815300126147575
32,589,0.35473032948729777
32,590,0.12799922639996514
32,591,0.41817281563280156
32,592,0.4388951878804191
32,593,0.4541701837588893
32,594,0.7125186486354907
32,595,1.142927703267153
32,596,0.15894847671282797
32,597,0.4792627421889267
32,598,0.8466718527119635
32,599,0.3159717702244414
32,600,0.7088415232584719
32,601,1.0924081362399136
23,418,0.2803444532788208
23,419,0.6633571125241294
23,420,0.7467092873812202
23,421,0.9548589178377541
23,422,0.7175933143524288
23,423,0.44528255464985367
23,424,0.6680084843554374
23,425,0.5353424708376627
23,426,0.33554114153341524
23,427,0.572623852250894
23,428,0.4402850118779271
23,429,0.7235240330051836
23,430,0.7501331102309653
23,431,0.2775736025659313
23,432,0.44030855239325256
23,433,0.5122222041645665
23,434,0.6161196449350622
23,435,0.7461608146488481
23,436,0.4823686636619539
23,437,0.5426397338926153
23,438,0.5478732085523367
23,439,1.3823320225629774
23,440,0.3573745857697061
23,441,0.30324937522455436
23,442,0.5536465939707012
23,443,0.6048130324149182
23,444,1.4000898277286082
23,445,0.5195880855709172
23,446,0.5723119706312222
23,447,0.22474027855530038
23,448,0.3934623224301449
23,449,0.47787449834865003
23,450,0.5706346731879381
23,451,0.9790765638100336
23,452,0.5546286367487914
23,453,0.2506703975452539
23,454,0.23945783667234713
23,455,0.23855134630394736
23,456,0.2949318530634958
23,457,0.19272399934633708
23,458,0.54621492586361
23,459,0.4889185770233196
23,460,0.3818213228147782
23,461,0.4885605910560239
23,462,0.5129911246198701
23,463,0.7391482040943199
23,464,0.520395534628534
23,465,0.324644149757184
23,466,0.31437379929886067
23,467,0.23013229423603027
27,497,0.4204122255781456
27,498,0.4203867843469723
27,499,0.4827102168016797
27,500,0.45997150172880163
27,501,0.6097483430099775
27,502,0.42019366388664303
27,503,0.5044970418855039
27,504,0.5293984091315134
27,505,0.8203014086275534
27,506,0.40926239782581836
27,507,0.33150980973324773
27,508,0.14127161267688626
27,509,0.4428359457922256
27,510,0.46269156919975035
27,511,0.568864159344929
27,512,0.5207035303248024
27,513,0.5402109691964381
27,514,0.48490712598387226
27,515,0.646203471088614
27,516,0.7291438613853483
27,517,1.1532043926551905
27,518,3.175026794128927
27,519,3.647099229793967
27,520,0.9786686487112466
27,521,1.1874275518042896
27,522,0.697275359631028
27,523,0.5302427414083025
27,524,0.5286468268132413
27,525,0.44156370049353094
27,526,0.7199836423282828
27,527,0.47776518059587886
27,528,0.16126783086647997
27,529,0.12736889200259188
27,530,0.4666734562587936
27,531,0.5195124892774252
21,370,0.4521930402863746
21,371,0.9493742885294876
21,372,0.456169575353474
21,373,0.15174042073124813
21,374,0.5315637990111398
21,375,0.4855399609623972
21,376,0.2525631934544388
21,377,0.6403671494636429
21,378,0.580981728206107
21,379,0.5240671400789207
21,380,1.2186182023490977
21,381,0.8559859401173161
21,382,1.149243980966565
21,383,0.5819018041176032
21,384,0.6010764557909989
21,385,0.21907729709298077
21,386,1.1499837769860384
21,387,0.6207608682665946
21,388,0.4516179822668256
21,389,0.1151914127518692
21,390,0.09136390026030976
21,391,0.17900291950983552
21,392,0.44148186045180904
21,393,0.477670415740449
21,394,0.28050594688834873
21,395,0.2769729808241757
21,396,0.17706424710574023
21,397,0.31268216265425225
21,398,0.27237212152467793
21,399,0.11643647970004907
34,634,1.6451212664260515
34,635,1.8151448445341147
34,636,1.1825154096181891
34,637,1.3906439076711943
3,35,0.8277350873596548
3,36,0.9405717796556925
3,37,1.2168950696917678
3,38,0.5779483273343397
3,39,0.8757409780509137
3,40,1.026737390804246
3,41,1.3398001676737308
3,42,0.8689353526116893
3,43,0.8532917313909884
3,44,0.7177896705540264
3,45,0.8307329968168926
3,46,1.0433416924671035
3,47,0.6416271131277693
3,48,1.0800300726627778
3,49,1.3356983930435056
3,50,1.054670773343526
3,51,0.9220139704024188
3,52,1.8738023937994839
3,53,0.8682445785567559
3,54,0.847671598083196
8,99,0.3637944041152315
8,100,0.25994190361578823
8,101,0.22669635405531513
8,102,0.24984178810250893
8,103,0.5262185489430156
8,104,0.8889479178099773
8,105,0.7306036663184909
8,106,0.45745528263279644
