pc11_state_id,pc11_district_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households
1,1,39.587393099827345,8.203558552037448,7.9410838440853695,870354,113929
1,2,35.95911207071048,3.221248565496289,8.757376726286523,753745,103363
1,3,56.746643187321155,72.17556765827385,1.038074398249453,133487,21909
1,4,47.50305473126299,86.89791338191219,1.8105801458138973,140802,18338
1,5,43.741775438346906,37.04782576782325,8.078146545251,476835,90261
1,6,47.00670562572375,43.736836779963106,4.715555657823082,642415,130401
1,7,55.35329250566604,31.55742292374703,7.106904590225906,616435,119583
1,8,43.941762834191834,3.8868535840379193,10.193180427646455,1008039,152635
1,9,37.345030127010276,19.316628933896265,12.53508573556995,392232,58392
1,10,54.095150288968,0.8087617609224881,1.9703703255512832,1236829,191678
1,11,37.98494874789153,20.570792681696844,10.461009650796049,297446,45361
1,12,43.246963078211955,4.105524230961388,7.112485504445304,560440,86241
1,13,43.27667938489999,8.21253498112428,6.8753084839953935,266215,44411
1,14,42.610203786674376,10.92360006378095,11.122171945701357,1078692,153640
1,15,40.62253762151762,6.253725119733888,11.347864082660772,424483,73728
1,16,40.990855599989814,22.594746497014167,4.961134837547401,409936,79636
1,17,30.55929143043966,18.924758470708074,6.551267026570094,283713,55490
1,18,35.10870253594015,22.738148905919477,8.012433471979962,230696,45209
1,19,48.338697371427685,35.11410218294188,2.5307985988113515,554985,99240
1,20,38.193460453692836,40.08110160900253,1.461644547941489,314667,56689
1,21,69.15143331513384,29.228514769686488,4.000058487512916,1529958,314199
1,22,65.31641005782045,34.308148687041,3.256485316138084,318898,65385
2,23,53.45204841713221,47.6207906295754,2.2151263875886054,519080,102460
2,24,71.91685407460855,26.75026074863831,3.5429973081885224,1510075,338887
2,26,62.66009573972351,31.852031157585124,3.6992716994367534,437903,94807
2,27,65.79033389673758,30.659437054463147,1.6923921535505395,999777,219145
2,28,74.68973234945182,24.693909861731697,2.7545916466512885,454768,105519
2,29,72.40689604281481,23.810135981718165,5.243824452343064,521173,110332
2,30,69.78149181783586,28.715873032495892,1.1246929578554437,381956,80485
2,31,67.83102450233093,32.771746622553074,2.6291422446233494,580320,122425
2,32,61.927860990826844,32.463032339036154,3.0700442482439945,529855,98208
2,33,69.36146910695142,27.583444920824068,5.608621740385541,814010,184362
3,35,66.96647158623053,25.2608532395142,11.308643001192117,2298323,443666
3,36,66.94311790709695,33.94478193452147,13.250177270676208,815168,167989
3,37,70.58096356374936,38.95185517804148,7.59449065534403,2193590,461635
3,38,72.24731470430882,35.13772945718112,12.04031035665712,1586625,336994
3,39,66.65262073647494,42.50853325929676,9.541978133447065,612310,129500
3,40,67.05742962687208,32.07345337849884,9.14361274598771,600163,118100
3,41,69.4010078955291,26.39116550277114,6.987284987362272,3498739,716826
3,42,59.456053943374776,36.496958059585474,21.062385200734717,995746,193256
